_id,numberOfAnime,averageEpisodes,releasePeriodStart,releasePeriodEnd,averageRating
Zhu Zhu Xia: Jing Su Xiao Yingxiong,23,51.88235294117647,2005,2017,3.387142857142857
Detective Conan Movie 3: The Last Magician of the Century,23,103,1996,,4.083043478260869
Zhu Zhu Xia: Mo Huan Zhu Luo Ji,23,56.8235294117647,2005,2017,3.3875
Ghost in the Shell: Stand Alone Complex - Solid State Society,23,14.571428571428571,1995,2014,3.6947826086956526
Zhu Zhu Xia: Jing Qiu Xiao Yingxiong,23,54.94117647058823,2005,2017,3.3880000000000003
GeGeGe no Kitarou (2018),22,73.83333333333333,1968,2009,3.3765
Doraemon (2005),22,178,1979,2005,3.698571428571429
Fate/stay night: Heaven's Feel I. presage flower,22,9.307692307692308,2006,2017,3.7290909090909086
Ghost in the Shell: Stand Alone Complex - The Laughing Man,22,14.571428571428571,1995,2014,3.7163636363636368
Ghost in the Shell: The New Movie,22,13,1995,2014,3.707727272727273
Detective Conan Movie 16: The Eleventh Striker,22,103,1996,,4.082727272727273
Mobile Suit Gundam,22,5.75,1981,2020,3.261
Ghost in the Shell: Stand Alone Complex 2nd Gig,22,12.571428571428571,2002,2014,3.689090909090909
Ghost in the Shell 2: Innocence,22,14.571428571428571,1995,2014,3.7427272727272727
Detective Conan OVA 1: Conan vs Kid vs YAIBA,22,9.105263157894736,1993,2015,3.8172727272727274
Fate/Prototype,21,10,2006,2017,3.732857142857143
Fate/stay night: TV reproduction,21,9.916666666666666,2006,2017,3.717142857142857
Detective Conan: Excalibur no Kiseki,21,6.722222222222222,1996,2015,3.834761904761905
Ghost in the Shell: Stand Alone Complex - Tachikoma Days,21,14.571428571428571,2002,2014,3.7228571428571433
Detective Conan Magic File 2: Kudou Shinichi - The Case of the Mysterious Wall and the Black Lab,21,6.722222222222222,1996,2015,3.8247619047619046
Detective Conan Magic File 5: Niigata - Tokyo Omiyage Capriccio,21,6.722222222222222,1996,2015,3.826190476190476
